dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,44,65,56,NaiveBayes,No FS,No Sampling,114.0,20.0,112.0,55.0,0.8575623094853864,0.5082877741717672,0.8507462686567164,0.6745562130177515
BOOKKEEPER,1,44,65,56,RandomForest,No FS,No Sampling,154.0,41.0,91.0,15.0,0.8325264479110633,0.6138727264397307,0.7897435897435897,0.9112426035502958
BOOKKEEPER,1,44,65,56,IBK,No FS,No Sampling,154.0,44.0,88.0,15.0,0.7889546351084813,0.5921502882208393,0.7777777777777778,0.9112426035502958
BOOKKEEPER,1,44,65,56,NaiveBayes,No FS,UnderSampling,110.0,19.0,113.0,59.0,0.8527434104357181,0.4906716417910447,0.8527131782945736,0.650887573964497
BOOKKEEPER,1,44,65,56,RandomForest,No FS,UnderSampling,152.0,34.0,98.0,17.0,0.8628518916980455,0.6510105258371791,0.8172043010752689,0.8994082840236687
BOOKKEEPER,1,44,65,56,IBK,No FS,UnderSampling,151.0,42.0,90.0,18.0,0.7876546530392684,0.5869923161361142,0.7823834196891192,0.893491124260355
BOOKKEEPER,1,44,65,56,NaiveBayes,No FS,OverSampling,113.0,26.0,106.0,56.0,0.8446969696969697,0.46021956873551156,0.8129496402877698,0.6686390532544378
BOOKKEEPER,1,44,65,56,RandomForest,No FS,OverSampling,151.0,39.0,93.0,18.0,0.8365384615384616,0.6086361458974885,0.7947368421052632,0.893491124260355
BOOKKEEPER,1,44,65,56,IBK,No FS,OverSampling,154.0,42.0,90.0,15.0,0.7854805450959297,0.6066441983630236,0.7857142857142857,0.9112426035502958
BOOKKEEPER,1,44,65,56,NaiveBayes,No FS,Smote,118.0,22.0,110.0,51.0,0.8512641204948898,0.519074613145396,0.8428571428571429,0.6982248520710059
BOOKKEEPER,1,44,65,56,RandomForest,No FS,Smote,152.0,41.0,91.0,17.0,0.8172180383718846,0.6007592389315769,0.7875647668393783,0.8994082840236687
BOOKKEEPER,1,44,65,56,IBK,No FS,Smote,152.0,42.0,90.0,17.0,0.7906132329209252,0.5935318486644848,0.7835051546391752,0.8994082840236687
BOOKKEEPER,1,44,65,56,NaiveBayes,BF,No Sampling,228.0,45.0,219.0,110.0,0.8451396360050206,0.49087159116950585,0.8351648351648352,0.6745562130177515
BOOKKEEPER,1,44,65,56,RandomForest,BF,No Sampling,268.0,66.0,198.0,70.0,0.8060168997668997,0.5420004475274111,0.8023952095808383,0.7928994082840237
BOOKKEEPER,1,44,65,56,IBK,BF,No Sampling,268.0,69.0,195.0,70.0,0.8084151425497579,0.5313154622545341,0.7952522255192879,0.7928994082840237
BOOKKEEPER,1,44,65,56,NaiveBayes,BF,UnderSampling,113.0,24.0,108.0,56.0,0.8427469965931504,0.4742358078602621,0.8248175182481752,0.6686390532544378
BOOKKEEPER,1,44,65,56,RandomForest,BF,UnderSampling,150.0,37.0,95.0,19.0,0.8772861753630984,0.6164732650739477,0.8021390374331551,0.8875739644970414
BOOKKEEPER,1,44,65,56,IBK,BF,UnderSampling,149.0,39.0,93.0,20.0,0.7975838264299803,0.5955867283036915,0.7925531914893617,0.8816568047337278
BOOKKEEPER,1,44,65,56,NaiveBayes,BF,OverSampling,117.0,25.0,107.0,52.0,0.844988344988345,0.4918995944316562,0.823943661971831,0.6923076923076923
BOOKKEEPER,1,44,65,56,RandomForest,BF,OverSampling,154.0,46.0,86.0,15.0,0.8617088040164963,0.5776070302974533,0.77,0.9112426035502958
BOOKKEEPER,1,44,65,56,IBK,BF,OverSampling,155.0,43.0,89.0,14.0,0.7656670252824099,0.6059757021794547,0.7828282828282829,0.9171597633136095
BOOKKEEPER,1,44,65,56,NaiveBayes,BF,Smote,116.0,27.0,105.0,53.0,0.8438900842746997,0.47167493088770907,0.8111888111888111,0.6863905325443787
BOOKKEEPER,1,44,65,56,RandomForest,BF,Smote,151.0,41.0,91.0,18.0,0.8530571992110454,0.5942191248714728,0.7864583333333334,0.893491124260355
BOOKKEEPER,1,44,65,56,IBK,BF,Smote,151.0,41.0,91.0,18.0,0.784920207997131,0.5942191248714728,0.7864583333333334,0.893491124260355
BOOKKEEPER,2,55,60,53,NaiveBayes,No FS,No Sampling,147.0,29.0,176.0,87.0,0.8351573900354388,0.47835528876687633,0.8352272727272727,0.6282051282051282
BOOKKEEPER,2,55,60,53,RandomForest,No FS,No Sampling,205.0,59.0,146.0,29.0,0.8527725661872003,0.5936467865783107,0.7765151515151515,0.8760683760683761
BOOKKEEPER,2,55,60,53,IBK,No FS,No Sampling,208.0,71.0,134.0,26.0,0.8166875130289765,0.5500290590162201,0.7455197132616488,0.8888888888888888
