dataset,#TrainingRelease,%Training,%Defective in Training,%Defective in Testing,Classifier,FeatureSelection,Balancing,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
SYNCOPE,1,50,14,14,NaiveBayes,No FS,No Sampling,43.0,37.0,432.0,37.0,0.875706289978678,0.4586087420042643,0.5375,0.5375
SYNCOPE,1,50,14,14,RandomForest,No FS,No Sampling,72.0,5.0,464.0,8.0,0.95863539445629,0.9033882473975609,0.935064935064935,0.9
SYNCOPE,1,50,14,14,IBK,No FS,No Sampling,72.0,5.0,464.0,8.0,0.9446695095948827,0.9033882473975609,0.935064935064935,0.9
SYNCOPE,1,50,14,14,NaiveBayes,No FS,UnderSampling,43.0,53.0,416.0,37.0,0.8667110874200427,0.3919816893089192,0.4479166666666667,0.5375
SYNCOPE,1,50,14,14,RandomForest,No FS,UnderSampling,73.0,65.0,404.0,7.0,0.9551172707889126,0.5950082990102661,0.5289855072463768,0.9125
SYNCOPE,1,50,14,14,IBK,No FS,UnderSampling,74.0,107.0,362.0,6.0,0.8489872068230278,0.45738176665587926,0.4088397790055249,0.925
SYNCOPE,1,50,14,14,NaiveBayes,No FS,OverSampling,54.0,54.0,415.0,26.0,0.8955623667377399,0.4888981985756179,0.5,0.675
SYNCOPE,1,50,14,14,RandomForest,No FS,OverSampling,72.0,29.0,440.0,8.0,0.9574227078891258,0.7558797726207501,0.7128712871287128,0.9
SYNCOPE,1,50,14,14,IBK,No FS,OverSampling,72.0,34.0,435.0,8.0,0.9162846481876332,0.7292200014092116,0.6792452830188679,0.9
SYNCOPE,1,50,14,14,NaiveBayes,No FS,Smote,46.0,46.0,423.0,34.0,0.8829957356076759,0.4489888091534099,0.5,0.575
SYNCOPE,1,50,14,14,RandomForest,No FS,Smote,72.0,5.0,464.0,8.0,0.9631130063965885,0.9033882473975609,0.935064935064935,0.9
SYNCOPE,1,50,14,14,IBK,No FS,Smote,72.0,5.0,464.0,8.0,0.9446695095948827,0.9033882473975609,0.935064935064935,0.9
SYNCOPE,1,50,14,14,NaiveBayes,BF,No Sampling,82.0,73.0,865.0,78.0,0.8601712420042644,0.4403820839099469,0.5290322580645161,0.5125
SYNCOPE,1,50,14,14,RandomForest,BF,No Sampling,111.0,41.0,897.0,49.0,0.9059434968017057,0.6638043655761799,0.7302631578947368,0.69375
SYNCOPE,1,50,14,14,IBK,BF,No Sampling,111.0,41.0,897.0,49.0,0.923101012793177,0.6638043655761799,0.7302631578947368,0.69375
SYNCOPE,1,50,14,14,NaiveBayes,BF,UnderSampling,65.0,87.0,382.0,15.0,0.859728144989339,0.4565833398028103,0.4276315789473684,0.8125
SYNCOPE,1,50,14,14,RandomForest,BF,UnderSampling,74.0,93.0,376.0,6.0,0.9252931769722814,0.5008311673998697,0.4431137724550898,0.925
SYNCOPE,1,50,14,14,IBK,BF,UnderSampling,75.0,107.0,362.0,5.0,0.855477078891258,0.46400739203961006,0.41208791208791207,0.9375
SYNCOPE,1,50,14,14,NaiveBayes,BF,OverSampling,38.0,36.0,433.0,42.0,0.857089552238806,0.4110252248782767,0.5135135135135135,0.475
SYNCOPE,1,50,14,14,RandomForest,BF,OverSampling,55.0,10.0,459.0,25.0,0.9125,0.722346651253522,0.8461538461538461,0.6875
SYNCOPE,1,50,14,14,IBK,BF,OverSampling,57.0,23.0,446.0,23.0,0.8379264392324094,0.663459488272921,0.7125,0.7125
SYNCOPE,1,50,14,14,NaiveBayes,BF,Smote,39.0,57.0,412.0,41.0,0.8589818763326226,0.3379356172474894,0.40625,0.4875
SYNCOPE,1,50,14,14,RandomForest,BF,Smote,72.0,5.0,464.0,8.0,0.9618070362473348,0.9033882473975609,0.935064935064935,0.9
SYNCOPE,1,50,14,14,IBK,BF,Smote,72.0,5.0,464.0,8.0,0.9508528784648188,0.9033882473975609,0.935064935064935,0.9
SYNCOPE,2,66,14,47,NaiveBayes,No FS,No Sampling,68.0,10.0,281.0,191.0,0.8426010694051931,0.23730216770383444,0.8717948717948718,0.2625482625482625
SYNCOPE,2,66,14,47,RandomForest,No FS,No Sampling,75.0,0.0,291.0,184.0,0.8113149968820071,0.30134622022782176,1.0,0.28957528957528955
SYNCOPE,2,66,14,47,IBK,No FS,No Sampling,82.0,3.0,288.0,177.0,0.6545794690124587,0.3180409175449473,0.9647058823529412,0.3166023166023166
SYNCOPE,2,66,14,47,NaiveBayes,No FS,UnderSampling,83.0,15.0,276.0,176.0,0.8357812893895368,0.27843336584561706,0.8469387755102041,0.3204633204633205
SYNCOPE,2,66,14,47,RandomForest,No FS,UnderSampling,128.0,19.0,272.0,131.0,0.7960169300375486,0.4393628443671256,0.8707482993197279,0.4942084942084942
SYNCOPE,2,66,14,47,IBK,No FS,UnderSampling,129.0,22.0,269.0,130.0,0.7217290928631135,0.4323814179601037,0.8543046357615894,0.4980694980694981
SYNCOPE,2,66,14,47,NaiveBayes,No FS,OverSampling,84.0,12.0,279.0,175.0,0.8452745823879845,0.29323401272659805,0.875,0.32432432432432434
SYNCOPE,2,66,14,47,RandomForest,No FS,OverSampling,87.0,5.0,286.0,172.0,0.7035850283272964,0.33044004566900975,0.9456521739130435,0.3359073359073359
SYNCOPE,2,66,14,47,IBK,No FS,OverSampling,90.0,4.0,287.0,169.0,0.6759808409292946,0.34585928584196124,0.9574468085106383,0.3474903474903475
SYNCOPE,2,66,14,47,NaiveBayes,No FS,Smote,78.0,14.0,277.0,181.0,0.8434502248935238,0.26234920285568875,0.8478260869565217,0.30115830115830117
SYNCOPE,2,66,14,47,RandomForest,No FS,Smote,74.0,0.0,291.0,185.0,0.8003688519152437,0.29739397036280024,1.0,0.2857142857142857
SYNCOPE,2,66,14,47,IBK,No FS,Smote,82.0,3.0,288.0,177.0,0.6545794690124587,0.3180409175449473,0.9647058823529412,0.3166023166023166
SYNCOPE,2,66,14,47,NaiveBayes,BF,No Sampling,143.0,23.0,559.0,375.0,0.832102721277979,0.24572381569335525,0.8614457831325302,0.27606177606177607
SYNCOPE,2,66,14,47,RandomForest,BF,No Sampling,150.0,13.0,569.0,368.0,0.8223208480940439,0.2777027120186409,0.9202453987730062,0.28957528957528955
SYNCOPE,2,66,14,47,IBK,BF,No Sampling,157.0,16.0,566.0,361.0,0.7587768180551686,0.28607335178834575,0.9075144508670521,0.3030888030888031
SYNCOPE,2,66,14,47,NaiveBayes,BF,UnderSampling,119.0,26.0,265.0,140.0,0.8443723546816331,0.3792915901828814,0.8206896551724138,0.4594594594594595
SYNCOPE,2,66,14,47,RandomForest,BF,UnderSampling,134.0,23.0,268.0,125.0,0.8277408483594051,0.44803829827630637,0.8535031847133758,0.5173745173745173
SYNCOPE,2,66,14,47,IBK,BF,UnderSampling,132.0,33.0,258.0,127.0,0.7211917366556542,0.4043186895011169,0.8,0.5096525096525096
SYNCOPE,2,66,14,47,NaiveBayes,BF,OverSampling,79.0,13.0,278.0,180.0,0.8414334806087383,0.26991485205716864,0.8586956521739131,0.305019305019305
SYNCOPE,2,66,14,47,RandomForest,BF,OverSampling,72.0,2.0,289.0,187.0,0.7394618477092704,0.28220248864091474,0.972972972972973,0.277992277992278
SYNCOPE,2,66,14,47,IBK,BF,OverSampling,73.0,4.0,287.0,186.0,0.67917844206504,0.27888264763928944,0.948051948051948,0.28185328185328185
SYNCOPE,2,66,14,47,NaiveBayes,BF,Smote,93.0,14.0,277.0,166.0,0.8424551208056362,0.32133210853202077,0.8691588785046729,0.3590733590733591
SYNCOPE,2,66,14,47,RandomForest,BF,Smote,75.0,0.0,291.0,184.0,0.7833127678488503,0.30134622022782176,1.0,0.28957528957528955
SYNCOPE,2,66,14,47,IBK,BF,Smote,82.0,3.0,288.0,177.0,0.7169658612957582,0.3180409175449473,0.9647058823529412,0.3166023166023166
SYNCOPE,3,75,25,30,NaiveBayes,No FS,No Sampling,74.0,33.0,348.0,94.0,0.866063617047869,0.39383427662293646,0.6915887850467289,0.44047619047619047
SYNCOPE,3,75,25,30,RandomForest,No FS,No Sampling,80.0,2.0,379.0,88.0,0.9248843894513186,0.549581578515561,0.975609756097561,0.47619047619047616
SYNCOPE,3,75,25,30,IBK,No FS,No Sampling,80.0,2.0,379.0,88.0,0.9156433570803649,0.549581578515561,0.975609756097561,0.47619047619047616
SYNCOPE,3,75,25,30,NaiveBayes,No FS,UnderSampling,86.0,38.0,343.0,82.0,0.8653996375453068,0.444725396985941,0.6935483870967742,0.5119047619047619
SYNCOPE,3,75,25,30,RandomForest,No FS,UnderSampling,144.0,69.0,312.0,24.0,0.9352893388326459,0.6289489175224018,0.676056338028169,0.8571428571428571
SYNCOPE,3,75,25,30,IBK,No FS,UnderSampling,157.0,100.0,281.0,11.0,0.9186507936507936,0.5853728235798412,0.6108949416342413,0.9345238095238095
SYNCOPE,3,75,25,30,NaiveBayes,No FS,OverSampling,83.0,33.0,348.0,85.0,0.8784448818897638,0.4460236018471009,0.7155172413793104,0.49404761904761907
SYNCOPE,3,75,25,30,RandomForest,No FS,OverSampling,140.0,72.0,309.0,28.0,0.9157605299337582,0.6004017818150057,0.660377358490566,0.8333333333333334
SYNCOPE,3,75,25,30,IBK,No FS,OverSampling,144.0,83.0,298.0,24.0,0.9072459692538433,0.5821472012974542,0.6343612334801763,0.8571428571428571
SYNCOPE,3,75,25,30,NaiveBayes,No FS,Smote,83.0,36.0,345.0,85.0,0.8680789901262342,0.435026662924502,0.6974789915966386,0.49404761904761907
SYNCOPE,3,75,25,30,RandomForest,No FS,Smote,81.0,6.0,375.0,87.0,0.9179321334833146,0.5390428211586903,0.9310344827586207,0.48214285714285715
SYNCOPE,3,75,25,30,IBK,No FS,Smote,80.0,2.0,379.0,88.0,0.9157058492688414,0.549581578515561,0.975609756097561,0.47619047619047616
SYNCOPE,3,75,25,30,NaiveBayes,BF,No Sampling,140.0,57.0,705.0,196.0,0.867204099487564,0.3865650877774097,0.7106598984771574,0.4166666666666667
